"_id__$oid","title","link","_id","created_at","id_str","text","source","truncated","createTime","authorMeta__id","authorMeta__secUid","authorMeta__name","authorMeta__nickName","authorMeta__verified","authorMeta__signature","authorMeta__avatar","videoMeta__height","videoMeta__width","videoMeta__duration"
"5f36d6a2d1702891b62b2e86","VER ANIME","/anime/hakubo","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e87","VER ANIME","/anime/goblin-slayer-goblins-crown","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e88","VER ANIME","/anime/tenki-no-ko","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e89","VER ANIME","/anime/baki-dai-reitaisaihen","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e8a","VER ANIME","/anime/enen-no-shouboutai-ni-no-shou","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e8b","VER ANIME","/anime/dokyuu-hentai-hxeros","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e8c","VER ANIME","/anime/monster-musume-no-oishasan","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e8d","VER ANIME","/anime/maou-gakuin-no-futekigousha","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e8e","VER ANIME","/anime/lapis-relights","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e8f","VER ANIME","/anime/muhyo-to-rouji-no-mahouritsu-soudan-jimusho-2nd-season","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e90","VER ANIME","/anime/rezero-kara-hajimeru-isekai-seikatsu-2nd-season","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e91","VER ANIME","/anime/decadence","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e92","VER ANIME","/anime/no-guns-life-2nd-season","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e93","VER ANIME","/anime/uzakichan-wa-asobitai","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e94","VER ANIME","/anime/yahari-ore-no-seishun-love-comedy-wa-machigatteiru-kan","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e95","VER ANIME","/anime/peter-grill-to-kenja-no-jikan","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e96","VER ANIME","/anime/kanojo-okarishimasu","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e97","VER ANIME","/anime/boku-no-hero-academia-the-movie-2-heroesrising","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e98","VER ANIME","/anime/umayon","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e99","VER ANIME","/anime/gibiate","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e9a","VER ANIME","/anime/koi-to-producer-evollove","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e9b","VER ANIME","/anime/bang-dream-2nd-season","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e9c","VER ANIME","/anime/ikkitousen-western-wolves","","","","","","","","","","","","","","","","",""
"5f36d6a2d1702891b62b2e9d","VER ANIME","/anime/boogiepop-wa-warawanai-2019","","","","","","","","","","","","","","","","",""
"","","","1295855433245003776","Tue Aug 18 22:49:45 +0000 2020","1295855433245003776","RT @williamhboney1: There are 2 viruses at play, Covid-19 and Greed.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","False","","","","","","","","","","",""
"","","","1295855433199104001","Tue Aug 18 22:49:45 +0000 2020","1295855433199104001","RT @conor_pope: Is it just me or does anyone else think it odd that in the latest raft of restrictions and controls announced to curb the s…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","False","","","","","","","","","","",""
"","","","1295855433496829957","Tue Aug 18 22:49:45 +0000 2020","1295855433496829957","@fionamflanagan1 Some whistle blowers but who would believe the dialogue at this point. Only for soap opera lovers. https://t.co/K21o2WJyMN","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","False","","","","","","","","","","",""
"","","","1295855433760903168","Tue Aug 18 22:49:45 +0000 2020","1295855433760903168","RT @charts_k: According to K-media, ""Dynamite"" will be of the ""Disco Pop"" genre, and is a song that contains @BTS_twt's sincerity to spread…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","False","","","","","","","","","","",""
"","","","1295855432892846080","Tue Aug 18 22:49:45 +0000 2020","1295855432892846080","Reporte de este martes 18 de agosto de Seremi de Salud informa solo de 11 casos nuevos de Covid-19 en Aconcagua en… https://t.co/EOUdWa4YgZ","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","True","","","","","","","","","","",""
"","","","1295855433773649920","Tue Aug 18 22:49:45 +0000 2020","1295855433773649920","""Clinical evidence of COVID Disease is... influenza like illness""\n\nThat is according to the Public Health Agency. T… https://t.co/oTr6YyvUK1","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","True","","","","","","","","","","",""
"","","","1295855433987641347","Tue Aug 18 22:49:45 +0000 2020","1295855433987641347","RT @p_lixx: This COVID shit lasting like a Honda Civic","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","False","","","","","","","","","","",""
"","","","1295855434134429696","Tue Aug 18 22:49:45 +0000 2020","1295855434134429696","@NateSilver538 you stopped doing daily Covid updates just as the data and curves started to improve?  Political bias is showing!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","False","","","","","","","","","","",""
"","","","1295855434222448646","Tue Aug 18 22:49:46 +0000 2020","1295855434222448646","@contessabrewer @GuyAdami @CNBCFastMoney One of the great comic relief moments of COVID! :-)  And we need many of them!","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","False","","","","","","","","","","",""
"","","","1295855434352537601","Tue Aug 18 22:49:46 +0000 2020","1295855434352537601","RT @TectEGG: I haven't hung out with anyone in like 5 months.. I just want covid to be over so I can go to an anime convention","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","False","","","","","","","","","","",""
"","","","1295855434159423488","Tue Aug 18 22:49:45 +0000 2020","1295855434159423488","@orchard_chronic @MAD64284741 @mattgalb99 Actually, no. That fallacy needs to STOP. The 2017-2018 influenza season… https://t.co/3n8ZczMRe8","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","True","","","","","","","","","","",""
"","","","1295855434327302147","Tue Aug 18 22:49:46 +0000 2020","1295855434327302147","RT @nazeymen675: Arkadaşlar içerde bi hocamiz covid ile mücadele ediyor şuan yoğun bakımda ve durumu ciddi ABRh(+) plazmaya ihtiyac var şua…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","False","","","","","","","","","","",""
"","","","1295855434457202688","Tue Aug 18 22:49:46 +0000 2020","1295855434457202688","RT @p_lixx: This COVID shit lasting like a Honda Civic","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","False","","","","","","","","","","",""
"","","","1295855434499338240","Tue Aug 18 22:49:46 +0000 2020","1295855434499338240","RT @rkylesmith: Hey @NYGovCuomo did Donald Trump make you keep  schools open as long as you did? Did Trump make you keep the subways open w…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","False","","","","","","","","","","",""
